iter	Passed	Remaining
406	4665	6798
407	4675	6783
408	4686	6771
409	4697	6759
410	4707	6745
411	4717	6732
412	4727	6718
413	4737	6705
414	4748	6693
415	4761	6684
416	4771	6670
417	4782	6658
418	4792	6645
419	4801	6630
420	4812	6618
421	4824	6608
422	4841	6603
423	4854	6594
424	4864	6581
425	4874	6568
426	4884	6554
427	4895	6541
428	4907	6531
429	4917	6518
430	4928	6506
431	4938	6493
432	4948	6480
433	4959	6468
434	4969	6455
435	4979	6441
436	4990	6428
437	5000	6415
438	5010	6403
439	5021	6391
440	5031	6378
441	5042	6365
442	5055	6356
443	5065	6343
444	5075	6330
445	5086	6318
446	5097	6305
447	5107	6293
448	5118	6281
449	5127	6267
450	5138	6254
451	5149	6242
452	5158	6229
453	5169	6216
454	5178	6203
455	5188	6189
456	5199	6177
457	5208	6164
458	5222	6156
459	5234	6144
460	5244	6132
461	5254	6119
462	5265	6107
463	5276	6094
464	5285	6080
465	5295	6068
466	5305	6055
467	5316	6043
468	5327	6031
469	5337	6018
470	5348	6006
471	5358	5994
472	5368	5981
473	5379	5970
474	5393	5961
475	5403	5948
476	5413	5935
477	5424	5923
478	5434	5910
479	5445	5898
480	5455	5886
481	5464	5872
482	5475	5860
483	5485	5848
484	5495	5835
485	5505	5822
486	5515	5810
487	5527	5798
488	5538	5788
489	5548	5774
490	5558	5762
491	5569	5750
492	5578	5737
493	5589	5725
494	5599	5712
495	5609	5700
496	5620	5688
497	5631	5676
498	5641	5663
499	5652	5652
500	5666	5643
501	5677	5632
502	5687	5619
503	5698	5608
504	5707	5594
505	5718	5583
506	5729	5570
507	5738	5557
508	5749	5546
509	5759	5533
510	5771	5522
511	5784	5513
512	5796	5502
513	5805	5489
514	5821	5482
515	5834	5473
516	5848	5463
517	5861	5453
518	5873	5443
519	5883	5430
520	5895	5420
521	5909	5411
522	5921	5400
523	5930	5386
524	5941	5375
525	5951	5363
526	5972	5360
527	5982	5347
528	5993	5336
529	6007	5327
530	6018	5315
531	6027	5302
532	6037	5290
533	6047	5277
534	6057	5264
535	6068	5253
536	6078	5240
537	6088	5228
538	6099	5216
539	6110	5204
540	6121	5193
541	6133	5182
542	6143	5170
543	6154	5158
544	6165	5147
545	6175	5135
546	6186	5123
547	6197	5111
548	6206	5098
549	6217	5087
550	6228	5075
551	6238	5063
552	6249	5051
553	6262	5041
554	6272	5029
555	6282	5016
556	6293	5005
557	6302	4992
558	6312	4980
559	6323	4968
560	6333	4956
561	6343	4943
562	6353	4931
563	6363	4919
564	6374	4907
565	6384	4895
566	6395	4884
567	6407	4873
568	6417	4861
569	6427	4849
570	6437	4836
571	6447	4824
572	6457	4812
573	6467	4800
574	6477	4787
575	6488	4776
576	6498	4763
577	6507	4751
578	6519	4740
579	6529	4727
580	6541	4717
581	6552	4706
582	6562	4694
583	6573	4682
584	6584	4671
585	6594	4658
586	6605	4647
587	6616	4636
588	6626	4623
589	6637	4612
590	6647	4600
591	6657	4587
592	6668	4576
593	6678	4564
594	6690	4554
595	6702	4543
596	6713	4531
597	6723	4519
598	6733	4507
599	6744	4496
600	6754	4484
601	6764	4472
602	6775	4460
603	6784	4448
604	6796	4437
605	6806	4425
606	6815	4412
607	6826	4401
608	6839	4391
609	6848	4378
610	6860	4367
611	6870	4355
612	6880	4343
613	6890	4331
614	6899	4319
615	6910	4307
616	6920	4296
617	6930	4283
618	6941	4272
619	6951	4260
620	6960	4248
621	6971	4236
622	6980	4224
623	6993	4213
624	7004	4202
625	7015	4191
626	7025	4179
627	7036	4168
628	7046	4156
629	7056	4144
630	7067	4133
631	7077	4121
632	7088	4109
633	7098	4097
634	7108	4085
635	7119	4074
636	7130	4063
637	7141	4052
638	7153	4041
639	7164	4030
640	7174	4018
641	7185	4006
642	7194	3994
643	7204	3982
644	7215	3971
645	7226	3960
646	7235	3947
647	7246	3936
648	7256	3924
649	7266	3912
650	7277	3901
651	7287	3889
652	7297	3878
653	7308	3866
654	7321	3856
655	7332	3844
656	7343	3833
657	7353	3822
658	7363	3810
659	7374	3798
660	7384	3787
661	7394	3775
662	7404	3763
663	7414	3751
664	7425	3740
665	7436	3729
666	7446	3717
667	7456	3706
668	7470	3696
669	7480	3684
670	7491	3673
671	7502	3662
672	7512	3650
673	7522	3638
674	7533	3627
675	7542	3615
676	7553	3603
677	7563	3591
678	7573	3580
679	7584	3569
680	7595	3557
681	7604	3545
682	7615	3534
683	7630	3524
684	7640	3513
685	7652	3502
686	7663	3491
687	7676	3481
688	7686	3469
689	7697	3458
690	7712	3448
691	7722	3437
692	7733	3426
693	7745	3415
694	7759	3405
695	7778	3397
696	7791	3387
697	7801	3375
698	7814	3365
699	7826	3354
700	7839	3343
701	7849	3332
702	7861	3321
703	7872	3309
704	7882	3298
705	7892	3286
706	7903	3275
707	7921	3267
708	7938	3258
709	7951	3247
710	7961	3236
711	7973	3225
712	7984	3214
713	7994	3202
714	8005	3190
715	8016	3179
716	8025	3167
717	8035	3156
718	8047	3145
719	8061	3134
720	8072	3123
721	8083	3112
722	8094	3101
723	8104	3089
724	8114	3077
725	8124	3066
726	8134	3054
727	8144	3043
728	8155	3031
729	8165	3020
730	8174	3008
731	8192	2999
732	8203	2988
733	8214	2976
734	8223	2964
735	8233	2953
736	8244	2942
737	8255	2930
738	8266	2919
739	8275	2907
740	8285	2896
741	8297	2884
742	8307	2873
743	8316	2861
744	8327	2850
745	8338	2839
746	8355	2829
747	8364	2818
748	8375	2806
749	8385	2795
750	8394	2783
751	8405	2772
752	8414	2760
753	8426	2749
754	8436	2737
755	8446	2726
756	8457	2714
757	8467	2703
758	8477	2691
759	8487	2680
760	8498	2669
761	8508	2657
762	8519	2646
763	8529	2634
764	8540	2623
765	8550	2612
766	8560	2600
767	8570	2589
768	8581	2577
769	8591	2566
770	8602	2554
771	8612	2543
772	8621	2531
773	8631	2520
774	8644	2509
775	8654	2498
776	8665	2487
777	8674	2475
778	8684	2463
779	8695	2452
780	8705	2441
781	8715	2429
782	8726	2418
783	8736	2407
784	8749	2396
785	8761	2385
786	8773	2374
787	8783	2363
788	8798	2352
789	8812	2342
790	8825	2331
791	8835	2320
792	8846	2309
793	8858	2298
794	8870	2287
795	8881	2276
796	8893	2265
797	8905	2254
798	8915	2242
799	8927	2231
800	8946	2222
801	8959	2211
802	8969	2200
803	8979	2189
804	8989	2177
805	9001	2166
806	9016	2156
807	9027	2145
808	9040	2134
809	9051	2123
810	9060	2111
811	9073	2100
812	9091	2091
813	9101	2079
814	9112	2068
815	9121	2056
816	9133	2045
817	9142	2034
818	9154	2023
819	9166	2012
820	9178	2001
821	9188	1989
822	9198	1978
823	9209	1967
824	9218	1955
825	9232	1944
826	9243	1933
827	9252	1921
828	9263	1910
829	9272	1899
830	9282	1887
831	9293	1876
832	9301	1864
833	9312	1853
834	9324	1842
835	9334	1831
836	9344	1819
837	9355	1808
838	9367	1797
839	9382	1787
840	9392	1775
841	9403	1764
842	9413	1753
843	9423	1741
844	9432	1730
845	9442	1718
846	9453	1707
847	9463	1696
848	9474	1685
849	9484	1673
850	9494	1662
851	9505	1651
852	9514	1639
853	9527	1628
854	9539	1617
855	9550	1606
856	9559	1595
857	9569	1583
858	9580	1572
859	9590	1561
860	9600	1549
861	9610	1538
862	9620	1527
863	9631	1516
864	9640	1504
865	9651	1493
866	9662	1482
867	9674	1471
868	9686	1460
869	9696	1448
870	9706	1437
871	9717	1426
872	9727	1415
873	9736	1403
874	9748	1392
875	9758	1381
876	9767	1369
877	9778	1358
878	9788	1347
879	9798	1336
880	9808	1324
881	9824	1314
882	9840	1303
883	9857	1293
884	9869	1282
885	9881	1271
886	9897	1260
887	9909	1249
888	9924	1239
889	9942	1228
890	9960	1218
891	9982	1208
892	9995	1197
893	10013	1187
894	10029	1176
895	10053	1166
896	10069	1156
897	10089	1145
898	10108	1135
899	10125	1125
900	10142	1114
901	10211	1109
902	10226	1098
903	10277	1091
904	10320	1083
905	10338	1072
906	10358	1062
907	10380	1051
908	10398	1041
909	10418	1030
910	10435	1019
911	10456	1008
912	10479	998
913	10493	987
914	10520	977
915	10538	966
916	10561	955
917	10578	944
918	10593	933
919	10612	922
920	10632	912
921	10648	900
922	10665	889
923	10684	878
924	10699	867
925	10719	856
926	10740	845
927	10755	834
928	10772	823
929	10791	812
930	10808	801
931	10840	790
932	10861	779
933	10877	768
934	10906	758
935	10919	746
936	10930	734
937	10940	723
938	10951	711
939	10963	699
940	10973	688
941	10983	676
942	10995	664
943	11010	653
944	11020	641
945	11031	629
946	11043	618
947	11053	606
948	11064	594
949	11074	582
950	11084	571
951	11095	559
952	11106	547
953	11116	536
954	11128	524
955	11143	512
956	11155	501
957	11164	489
958	11175	477
959	11186	466
960	11196	454
961	11207	442
962	11219	431
963	11229	419
964	11240	407
965	11251	396
966	11261	384
967	11273	372
968	11283	360
969	11295	349
970	11306	337
971	11316	325
972	11326	314
973	11336	302
974	11347	290
975	11357	279
976	11368	267
977	11379	255
978	11388	244
979	11398	232
980	11408	220
981	11419	209
982	11429	197
983	11443	186
984	11452	174
985	11462	162
986	11472	151
987	11482	139
988	11493	127
989	11503	116
990	11514	104
991	11524	92
992	11534	81
993	11545	69
994	11555	58
995	11565	46
996	11575	34
997	11586	23
998	11596	11
999	11606	0
