iter	RMSE
0	1617.774357
1	1578.483212
2	1537.709583
3	1496.094962
4	1455.914745
5	1420.023812
6	1381.179282
7	1344.349485
8	1306.800153
9	1273.521161
10	1240.692904
11	1208.503952
12	1179.135424
13	1151.962821
14	1123.509789
15	1094.179759
16	1069.704591
17	1044.231764
18	1018.12817
19	996.1842484
20	973.2719133
21	950.7510809
22	929.3201361
23	905.3788073
24	885.3403802
25	865.6089801
26	843.9212545
27	822.9891457
28	804.3425458
29	785.1458272
30	767.3963204
31	752.0009638
32	732.7165211
33	716.567435
34	700.6837206
35	686.5982373
36	670.3319402
37	655.2849579
38	641.2398223
39	626.8622867
40	612.6604849
41	599.0389886
42	586.6944594
43	573.6730909
44	562.8063903
45	551.4422822
46	543.2812933
47	532.854713
48	522.8782177
49	512.2321786
50	502.5070599
51	493.2664683
52	484.777258
53	474.1412313
54	464.1255628
55	456.2929729
56	448.0183037
57	439.3923137
58	430.6837923
59	421.7287848
60	414.9015003
61	407.4342004
62	399.36093
63	391.7522437
64	384.6017994
65	377.4332205
66	372.4627947
67	366.7488985
68	361.9091136
69	356.3042866
70	352.2454318
71	346.3877043
72	340.1699333
73	337.1142978
74	332.7991645
75	327.534737
76	321.3760078
77	315.4853358
78	310.8712123
79	306.2656737
80	301.3751201
81	297.2729404
82	293.0036991
83	288.1162969
84	283.8731866
85	279.6934501
86	276.4866777
87	272.4410975
88	268.8432191
89	265.6459336
90	262.4781679
91	258.6994804
92	256.8990804
93	253.3688506
94	250.0178786
95	246.7717128
96	243.9164848
97	240.0507911
98	238.4610997
99	235.1394521
100	233.1224275
101	229.4291614
102	227.4110119
103	224.4095681
104	222.540415
105	219.5726341
106	217.0615797
107	214.2316841
108	212.5356833
109	210.4007323
110	208.1883397
111	205.4989435
112	203.4889454
113	201.1432931
114	198.5259049
115	195.5132534
116	194.1201334
117	192.9181529
118	191.2653146
119	190.2333721
120	188.807257
121	186.4833362
122	184.1831774
123	182.1435869
124	180.3664551
125	179.3937526
126	177.8744043
127	175.492669
128	173.7793976
129	172.5964419
130	171.2278879
131	170.2967764
132	168.5561414
133	167.6845718
134	166.6183109
135	165.8499614
136	164.7941061
137	164.0371405
138	163.2778271
139	162.0403424
140	161.1072598
141	159.6447094
142	158.6038041
143	158.0070822
144	155.9775058
145	154.0232949
146	153.0498617
147	152.0154907
148	151.3437888
149	150.3826098
150	149.6807766
151	148.0066809
152	146.1543964
153	145.4856961
154	144.7756524
155	144.1273926
156	143.4379243
157	141.7331226
158	140.1608338
159	138.2933221
160	136.7770943
161	135.1700933
162	134.6373891
163	134.0741999
164	133.57051
165	133.0970051
166	132.5464519
167	132.1091423
168	131.6528366
169	131.1626626
170	129.4708775
171	127.8566106
172	126.5987663
173	126.165062
174	125.7678986
175	125.3495996
176	124.9240842
177	124.5047742
178	124.1562236
179	123.632034
180	123.2308468
181	122.8053829
182	122.3663987
183	120.8618396
184	120.4656725
185	120.0769134
186	119.5653354
187	118.0025559
188	116.4783551
189	116.0658353
190	115.5731614
191	115.1892036
192	114.8460892
193	114.4899569
194	114.0741883
195	113.6593914
196	113.285407
197	111.816085
198	111.504664
199	111.1420707
200	110.819472
201	110.4843394
202	110.1042302
203	108.6565015
204	107.3445019
205	107.0598868
206	106.7540414
207	105.3675662
208	105.0506968
209	104.7552169
210	104.4728733
211	104.1930504
212	102.884515
213	102.6205961
214	102.2797189
215	101.9873928
216	100.5143773
217	100.1937671
218	99.91604238
219	99.65437542
220	99.34169437
221	99.06270117
222	97.65717359
223	96.35497628
224	95.94427915
225	95.71144235
226	95.43655336
227	94.11327355
228	93.86526268
229	93.64851217
230	93.43529189
231	93.20613926
232	92.98745545
233	92.72136753
234	92.49577417
235	91.45524999
236	91.24817675
237	90.98487646
238	90.75892075
